epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.022,0.59166,2.13926,1.06701,0.33431,0.11366,0.11931,0.11724,0.39931,5.66392,0.49336,0.00144762,0.000495238,0.000495238
2,393.339,0.49557,1.27331,1.00124,0.32297,0.13252,0.16508,0.16438,0.4419,4.85741,0.53177,0.000438125,0.000438125,0.000438125
3,572.183,0.46369,1.09167,0.99012,0.12256,0.20399,0.18266,0.18239,0.3608,4.88349,0.50341,0.00037625,0.00037625,0.00037625
4,740.671,0.43284,0.98047,0.97698,0.16513,0.21728,0.18463,0.18404,0.33597,4.90063,0.49221,0.000314375,0.000314375,0.000314375
5,911.841,0.41005,0.91791,0.9691,0.23906,0.16114,0.18817,0.1863,0.308,4.88513,0.46872,0.0002525,0.0002525,0.0002525
6,1083.37,0.38013,0.83073,0.96326,0.141,0.21323,0.20263,0.20219,0.30044,4.88076,0.46784,0.000190625,0.000190625,0.000190625
7,1255.52,0.36335,0.80921,0.95605,0.22853,0.18636,0.20323,0.20254,0.28357,4.85818,0.45239,0.00012875,0.00012875,0.00012875
8,1426.38,0.34658,0.76068,0.95035,0.14159,0.22003,0.20805,0.20723,0.26539,4.8779,0.44312,6.6875e-05,6.6875e-05,6.6875e-05
